City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Puerto Ayora,EC,2021-10-21 22:41:58,-0.7393,-90.3518,298.13,81,64,4.22
92,Arraial Do Cabo,BR,2021-10-21 22:41:58,-22.9661,-42.0278,293.13,68,75,2.57
93,Carnarvon,AU,2021-10-21 22:38:06,-24.8667,113.6333,290.19,72,0,8.23
94,Bengkulu,ID,2021-10-21 22:37:39,-3.8004,102.2655,296.57,92,91,1.54
95,Labuhan,ID,2021-10-21 22:41:59,-6.8844,112.2051,299.75,80,100,3.03
96,Port Alfred,ZA,2021-10-21 22:41:59,-33.5906,26.891,291.8,84,100,6.36
97,Teguldet,RU,2021-10-21 22:42:00,57.3064,88.1667,277.0,79,99,2.44
98,Kavieng,PG,2021-10-21 22:42:00,-2.5744,150.7967,300.9,78,100,4.55
99,Erzin,TR,2021-10-21 22:42:01,36.9559,36.2,286.44,32,0,2.04
100,Svodin,SK,2021-10-21 22:42:02,47.9105,18.4997,287.11,77,100,4.74
101,Belogorsk,RU,2021-10-21 22:42:02,50.9158,128.4611,272.59,75,14,2.04
102,Ambilobe,MG,2021-10-21 22:40:53,-13.2,49.05,295.29,90,37,0.57
103,Maragogi,BR,2021-10-21 22:40:52,-9.0122,-35.2225,299.01,85,15,4.87
104,Camacha,PT,2021-10-21 22:42:04,33.0833,-16.3333,292.83,64,20,4.12
105,Victoria,HK,2021-10-21 22:41:30,22.2855,114.1577,292.22,86,100,3.13
106,Perene,PE,2021-10-21 22:42:04,-10.9492,-75.2261,298.77,70,96,0.48
107,Ketchikan,US,2021-10-21 22:42:05,55.3422,-131.6461,288.41,51,90,7.2
108,Bilibino,RU,2021-10-21 22:42:05,68.0546,166.4372,255.41,96,100,1.25
109,Souillac,MU,2021-10-21 22:42:05,-20.5167,57.5167,296.68,83,75,1.54
110,Haines Junction,CA,2021-10-21 22:42:06,60.7522,-137.5108,281.12,53,100,0.51
111,Paamiut,GL,2021-10-21 22:42:06,61.994,-49.6678,275.97,46,77,2.62
112,San Patricio,US,2021-10-21 22:42:07,28.017,-97.5169,303.55,51,30,3.33
113,Martapura,ID,2021-10-21 22:42:07,-3.4167,114.85,297.73,88,100,0.71
114,Lima,PE,2021-10-21 22:42:08,-12.0432,-77.0282,289.89,82,75,4.63
115,Chuy,UY,2021-10-21 22:42:08,-33.6971,-53.4616,286.69,82,3,2.75
116,Magelang,ID,2021-10-21 22:42:09,-7.4706,110.2178,295.76,91,100,0.16
117,Abnub,EG,2021-10-21 22:42:09,27.2696,31.1511,293.27,53,2,6.32
118,Stephenville,US,2021-10-21 22:42:10,32.2207,-98.2023,300.51,53,1,2.57
119,Tabuk,PH,2021-10-21 22:42:10,17.4189,121.4443,297.42,92,46,1.25
120,Manggar,ID,2021-10-21 22:42:10,-2.8833,108.2667,298.92,81,99,0.8
121,Mokhotlong,LS,2021-10-21 22:42:11,-29.2894,29.0675,286.06,40,100,2.19
122,Hobyo,SO,2021-10-21 22:38:31,5.3505,48.5268,299.06,81,53,5.58
123,Ust-Kuyga,RU,2021-10-21 22:42:11,70.0167,135.6,261.55,96,100,1.58
124,Butaritari,KI,2021-10-21 22:40:20,3.0707,172.7902,301.33,72,30,6.86
125,Grand Gaube,MU,2021-10-21 22:42:02,-20.0064,57.6608,296.69,76,60,2.24
126,Talnakh,RU,2021-10-21 22:38:25,69.4865,88.3972,269.28,97,100,0.94
127,Sfantu Gheorghe,RO,2021-10-21 22:42:12,45.8667,25.7833,285.52,60,63,1.33
128,Khatanga,RU,2021-10-21 22:37:27,71.9667,102.5,254.81,99,90,1.73
129,Saint George,US,2021-10-21 22:42:13,37.1041,-113.5841,299.41,25,1,1.79
130,Constitucion,CL,2021-10-21 22:42:14,-35.3333,-72.4167,285.44,78,100,7.32
131,Sterling,US,2021-10-21 22:38:36,39.0062,-77.4286,295.88,64,1,0.45
132,Necochea,AR,2021-10-21 22:41:13,-38.5473,-58.7368,290.95,80,30,1.58
133,Teahupoo,PF,2021-10-21 22:42:14,-17.8333,-149.2667,299.13,77,47,4.65
134,Kapaa,US,2021-10-21 22:42:15,22.0752,-159.319,301.14,67,1,1.34
135,Anaconda,US,2021-10-21 22:42:15,46.1285,-112.9423,291.7,32,86,4.26
136,Manaure,CO,2021-10-21 22:42:16,11.7751,-72.4445,303.28,62,24,6.07
