City_ID,City,Country,Lat,Lng,Max Temp,Weather Description,Hotel Name
211,Arlit,NE,18.7369,7.3853,88.25,scattered clouds,Case de Passage De la Prefecture
217,Angoche,MZ,-16.2325,39.9086,76.57,clear sky,Guest House HESADA
218,Nabire,ID,-3.3667,135.4833,74.19,overcast clouds,Hotel Nusantara Nabire
219,Luanshya,ZM,-13.1367,28.4166,71.08,clear sky,CHOLWA GUEST HOUSE
220,Cuicatlan,MX,17.8,-96.9667,85.82,broken clouds,Vieja Biblioteca
222,Cidreira,BR,-30.1811,-50.2056,71.58,clear sky,Hotel Castelo
224,Vila Velha,BR,-20.3297,-40.2925,82.35,few clouds,Quality Suites Vila Velha
225,Kiunga,PG,-6.1219,141.2906,72.68,overcast clouds,Airport Lodge Kiunga
228,Poum,NC,-20.2333,164.0167,75.51,clear sky,Gîte kajeon
230,Mahebourg,MU,-20.4081,57.7,75.25,few clouds,Shandrani Beachcomber Resort & Spa
232,Tyler,US,32.3513,-95.3011,70.99,clear sky,The Woldert-Spence Manor
234,Souillac,MU,-20.5167,57.5167,75.36,few clouds,Shanti Maurice Resort & Spa
238,Nouakchott,MR,18.0858,-15.9785,78.73,overcast clouds,HOTEL IMAN فندق إيمان
240,Kahului,US,20.8947,-156.47,79.86,few clouds,Maui Seaside Hotel
241,Cayenne,GF,4.9333,-52.3333,87.84,overcast clouds,Hôtel Le Dronmi
251,Nicoya,CR,10.1483,-85.452,87.35,overcast clouds,Las Cabinas Del Sueño
253,Casino,AU,-28.8667,153.05,71.35,overcast clouds,Squatters Homestead Motel
257,Champerico,GT,14.3,-91.9167,87.76,few clouds,"Hotel y restaurante ""El Diamante"""
258,Faanui,PF,-16.4833,-151.75,78.69,moderate rain,Bora-Bora Pearl Beach Resort & Spa
259,Labuhan,ID,-6.8844,112.2051,80.2,heavy intensity rain,PT PPI Lamongan Tambak C
260,Saint-Philippe,RE,-21.3585,55.7679,74.79,clear sky,"Chambres d'hôte ""La Trinité"""
261,Mitsamiouli,KM,-11.3847,43.2844,80.89,few clouds,Foyer ADM
266,North Bend,US,43.4065,-124.2243,70.25,overcast clouds,Red Lion Hotel Coos Bay
267,Ambo,PE,-10.1308,-76.2047,73.2,broken clouds,La Loma Resort
268,Balaka,MW,-14.9793,34.9558,75.24,clear sky,Sun Village Lodge
269,Sinnamary,GF,5.3833,-52.95,83.19,overcast clouds,ALETHEIA Appartement Sinnamary
271,Sao Francisco Do Sul,BR,-26.2433,-48.6381,74.1,broken clouds,Hotel Kontiki
274,Celestun,MX,20.8667,-90.4,86.58,overcast clouds,Posada Lilia
276,Laguna,US,38.421,-121.4238,76.84,scattered clouds,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
278,Andros Town,BS,24.7,-77.7667,87.76,overcast clouds,Hanks place
283,Huicheng,CN,23.0385,116.2899,73.35,light rain,Huilai Hotel
286,Sibolga,ID,1.7427,98.7792,77.36,overcast clouds,Hotel Syariah CN Darussalam
287,Alyangula,AU,-13.8483,136.4192,75.07,broken clouds,Groote Eylandt Lodge
291,Graneros,CL,-34.0667,-70.7333,84.69,clear sky,Campo Escuela Callejones Park
292,Waingapu,ID,-9.6567,120.2641,80.11,scattered clouds,Pondok Wisata Elim
295,Itarema,BR,-2.9248,-39.9167,84.49,clear sky,"Sea Lounge! Bar, Club & Restaurant"
296,Ballina,AU,-28.8667,153.5667,71.56,overcast clouds,Ramada Hotel & Suites by Wyndham Ballina Byron
306,Sola,VU,-13.8833,167.55,79.47,scattered clouds,Leumerus Bungalows
307,San Quintin,MX,30.4833,-115.95,75.87,clear sky,Don Eddie's Sport Fishing Center
318,Illapel,CL,-31.6308,-71.1653,84.88,overcast clouds,Hotel Londres
321,Huarmey,PE,-10.0681,-78.1522,70.2,broken clouds,Hotel Miramar
322,Tautira,PF,-17.7333,-149.15,80.62,moderate rain,Pension Oaoa
325,Dingle,PH,10.9995,122.6711,74.97,broken clouds,SEGAYA PROPERTY
331,Sampit,ID,-2.5333,112.95,74.16,overcast clouds,Aquarius Boutique Hotel Sampit
332,Tatawin,TN,32.9297,10.4518,72.48,clear sky,Sangho Privilege Tataouine
333,Portobelo,PA,9.55,-79.65,86.61,overcast clouds,Scuba Portobelo
337,Mumford,GH,5.2618,-0.759,79.25,scattered clouds,Spanish Villa
338,Chumphon,TH,10.3333,98.8333,71.62,light rain,สกาน จ๋า.
340,Puerto Narino,CO,-3.7703,-70.3831,84.15,overcast clouds,Eware Refugio Amazonico
345,Bairiki,KI,1.3292,172.9752,80.6,few clouds,Tarawa Boutique Hotel
347,Salalah,OM,17.0151,54.0924,80.69,scattered clouds,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
